POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
722396.507981,4365860.13028,0.0,0.6042535956639655,0.0677775275838775,0.2039102945865636,0.3900044912725312,0.6206212282563827,0.0,0.0773318504860775,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722404.245816,4365860.13767,0.0,0.5815832693857905,1.0,0.2013623993058648,0.3882463362254503,0.6148346132686072,0.7887478505617271,0.0898643924051894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.983652,4365860.14508,0.0,0.5815832693857905,1.0,0.1988145040251659,0.386458173671773,0.6104944307592308,0.7831771137136873,0.0898643924051894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722396.502336,4365867.83716,0.0,0.6096290824340833,1.0,0.2043284672868651,0.391054720882536,0.620342075860062,0.0,0.0516742274189128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722404.240164,4365867.84455,0.0,0.6085606207743132,1.0,0.201761807622126,0.3892910346504644,0.6145525401274932,0.7887478505617271,0.0620300416389035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722411.978069,4365867.85196,0.0,0.6085606207743132,1.0,0.1991951129492077,0.3874961816814091,0.610210189186376,0.7831771137136873,0.0620300416389035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722419.715898,4365867.85937,0.0,0.6097291910107123,1.0,0.0480255942697492,0.3856702282171068,0.6044206534538072,0.7776846131661632,0.0731953806736083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722427.453729,4365867.86672,0.000138518047225,0.5952054868673536,1.0,0.0480255942697492,0.383813174257557,0.5986318257805823,0.7776846131661632,0.0799534704350288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722435.191636,4365867.87415,0.0006428571344277,0.5765082993976104,1.0,0.0475146148864423,0.3819260796705427,0.5928430423610663,0.0,0.1018737263470744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722442.929466,4365867.88158,0.0,0.0,1.0,0.0470000996770381,0.3800067915996304,0.5870549227471853,0.0,0.1198069932425746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
