,min,max
PLA,0.0,9.280739784240724
A,0.0,29.9510002136
AC,3.0,225.05
CIB,0.0983579978346824,0.94965398311615
CICCB,0.1000009998679161,0.999805986881256
DBB,0.0,1379.2099609375
DOB,0.0,1407.3699951171875
P,0.0,28.388218927897743
