POINT_X,POINT_Y,PLA_Real,PLA_Predicho
723539.712912,4368119.1292,1.6095099449157708,1.2451259192228297
723069.078224,4366623.75286,1.0447299480438232,1.0282328685224047
723022.390076,4366947.35828,1.1121100187301636,1.0960341887473988
722727.906662,4367563.50194,0.9988780021667473,1.0038992348909341
722147.81471,4367393.42001,2.2372200489044185,2.2073483755588486
722325.936875,4367139.30624,2.0311501026153556,2.0259448957443267
721923.29803,4367632.07625,2.1684401035308833,2.167699455738076
722233.601286,4366437.97319,0.39458099007606456,0.40343208861350865
722759.894002,4366238.11627,0.9496499896049497,0.9712366355657551
722395.014851,4367879.08083,1.9299099445343004,1.8807109216451652
722729.021728,4366137.89931,0.7548919916152946,0.7498952640295015
722820.802715,4367486.5434,1.0057499408721917,0.9980076322555512
723315.79882,4367633.46641,1.4541100263595572,1.469718529224399
721830.605257,4367423.95116,2.1627600193023677,2.1487176146507205
722078.144435,4367454.99801,2.3665599822998047,2.325227072000508
722224.702812,4368048.42361,1.6743299961090083,1.697976047039031
723038.287396,4366431.06306,0.7548499703407288,0.7331035519540267
722557.621888,4367678.90947,1.408400058746338,1.3709559543132765
722860.524563,4366184.27171,0.991401970386505,0.9885022343397114
722574.222982,4366199.39932,0.5215680003166193,0.5197705019116402
722928.385892,4368372.71994,1.0774199962615965,1.0773200323581689
722627.818597,4366939.25059,0.5858880281448359,0.6844652246981884
721993.200339,4367231.46223,2.047559976577758,2.0552215266227774
722620.365669,4366569.35261,0.7968770265579221,0.8285196862220743
721722.282387,4367446.97093,1.630139946937561,1.6210281560420987
723440.830717,4366200.29633,1.7161799669265745,1.7314062442779554
722016.777463,4366699.78347,0.13532400131225567,0.1508989999182517
721931.340178,4367185.17263,2.064110040664672,2.0523798737525842
723029.669559,4367502.17055,1.6186699867248535,1.59816819047928
722294.90059,4367262.56602,1.9581899642944334,1.9971433587074325
722441.951147,4367185.65185,1.8353899717330926,1.830667340874673
722866.703083,4368126.10853,1.490820050239563,1.5013716179132477
721954.114635,4367817.02555,2.3410799503326416,2.3117388105392433
722371.950722,4367686.4329,1.699219942092895,1.673495711326593
722062.769181,4367316.28665,2.3304500579833984,2.3233142299651974
