grid_cod,POINT_X,POINT_Y,Value
24628,723510.42183,4366254.31902,-9999
24629,723518.159353,4366254.32748,-9999
24630,723525.896951,4366254.33602,5
24631,723533.634473,4366254.34457,5
24887,722899.150919,4366261.37696,-9999
24888,722906.88839,4366261.38488,-9999
24889,722914.625861,4366261.39282,-9999
24890,722922.363411,4366261.40076,-9999
24891,722930.100883,4366261.40871,-9999
24892,722937.838434,4366261.41666,-9999
24893,722945.57591,4366261.42455,-9999
24894,722953.313384,4366261.43252,-9999
24895,722961.050936,4366261.4405,-9999
24896,722968.788411,4366261.44849,-9999
24897,722976.525887,4366261.45648,-9999
24898,722984.263443,4366261.46441,-9999
24899,722992.00092,4366261.47242,-9999
24900,722999.738475,4366261.48044,-9999
24901,723007.475953,4366261.48847,-9999
24902,723015.213433,4366261.49642,-9999
24903,723022.95099,4366261.50446,-9999
24904,723030.688469,4366261.51251,-9999
24905,723038.42595,4366261.52057,-9999
24906,723046.16351,4366261.52856,-9999
24907,723053.900991,4366261.53663,-9999
24908,723061.63855,4366261.54471,-9999
24909,723069.376032,4366261.5528,-9999
24910,723077.113515,4366261.56089,-9999
24911,723084.851078,4366261.56892,-9999
24912,723092.588562,4366261.57703,-9999
24913,723100.326046,4366261.58515,-9999
24914,723108.063608,4366261.59327,-9999
24915,723115.801094,4366261.60141,-9999
24916,723123.538582,4366261.60947,-9999
24917,723131.276146,4366261.61762,-9999
24918,723139.013633,4366261.62578,-9999
24919,723146.751198,4366261.63394,-9999
24920,723154.488686,4366261.64211,-9999
24921,723162.226177,4366261.65022,-9999
24922,723169.963743,4366261.6584,-9999
24923,723177.701233,4366261.6666,8
24924,723185.4388,4366261.6748,8
24925,723193.176293,4366261.68294,-9999
24926,723200.913785,4366261.69115,-9999
24927,723208.651354,4366261.69938,-9999
24928,723216.388846,4366261.70761,-9999
24929,723224.126339,4366261.71585,-9999
24930,723231.863912,4366261.72403,8
24931,723239.601406,4366261.73228,8
24932,723247.338978,4366261.74055,-9999
24933,723255.076473,4366261.74882,-9999
24934,723262.813969,4366261.7571,-9999
24935,723270.551467,4366261.76531,-9999
24936,723278.289041,4366261.77361,-9999
24937,723286.026538,4366261.78191,-9999
24938,723293.764113,4366261.79022,-9999
24939,723301.501612,4366261.79854,-9999
24940,723309.239113,4366261.80679,-9999
24941,723316.976689,4366261.81512,-9999
24942,723324.714189,4366261.82347,-9999
24943,723332.451767,4366261.83182,-9999
24944,723340.189268,4366261.84017,-9999
24945,723347.926771,4366261.84846,-9999
24946,723355.664351,4366261.85683,-9999
24947,723363.401853,4366261.86521,-9999
24948,723371.139356,4366261.8736,-9999
24949,723378.87694,4366261.88192,9
24950,723386.614444,4366261.89032,9
24951,723394.352026,4366261.89873,9
24952,723402.089531,4366261.90715,9
24953,723409.827037,4366261.91558,9
